"Dt","Revenue","Net Profit"
1 кв. 2009,6927,-14277
2 кв. 2009,10616,6959
3 кв. 2009,32298,8996
4 кв. 2009,28108,1785
1 кв. 2010,31082,8465
2 кв. 2010,33310,-2973
3 кв. 2010,25941,5974
4 кв. 2010,23061,322
1 кв. 2011,29600,11710
2 кв. 2011,36547,14556
3 кв. 2011,41168,9261
4 кв. 2011,30417,-8869
1 кв. 2012,37200,12691
2 кв. 2012,39329,3500
3 кв. 2012,27791,8623
4 кв. 2012,46560,8820
1 кв. 2013,39604,6258
2 кв. 2013,42770,8358
3 кв. 2013,39149,8320
4 кв. 2013,46982,8901
1 кв. 2014,56291,6059
2 кв. 2014,47939,17134
3 кв. 2014,42118,-10333
4 кв. 2014,60811,-29692
1 кв. 2015,74580,47000
2 кв. 2015,57320,25169
3 кв. 2015,40628,-15178
4 кв. 2015,52000,0
1 кв. 2016,102300,49900
2 кв. 2016,84400,40500
3 кв. 2016,68900,26500
4 кв. 2016,61500,16600
1 кв. 2017,84800,22700
2 кв. 2017,70737,25186
3 кв. 2017,58927,12950
4 кв. 2017,60936,17764
1 кв. 2018,95969,33181
2 кв. 2018,72200,25400
3 кв. 2018,70100,24200
4 кв. 2018,61000,7600
1 кв. 2019,70500,24100
2 кв. 2019,57400,13400
